File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.525305%,3397,800,3354,43,0,800
port.o,7.457945%,1033,9,988,41,4,5
queue.o,7.378529%,1022,64,1002,20,0,64
timers.o,6.779294%,939,60,918,21,0,60
mc_w.l,5.241499%,726,4,722,0,4,0
heap_4.o,4.793878%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.274060%,592,0,592,0,0,0
usart0.o,4.071908%,564,1028,564,0,0,1028
main.o,4.043029%,560,12,560,0,0,12
gd32f4xx_timer.o,4.028590%,558,0,558,0,0,0
system_gd32f4xx.o,3.855317%,534,4,530,0,4,0
printf3.o,3.407696%,472,0,472,0,0,0
exti.o,3.393257%,470,0,470,0,0,0
gd32f4xx_dma.o,3.133348%,434,0,434,0,0,0
startup_gd32f407_427.o,3.090030%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.324742%,322,0,314,8,0,0
gd32f4xx_gpio.o,1.978197%,274,0,274,0,0,0
bsp_keys.o,1.703848%,236,4,232,0,4,0
gd32f4xx_misc.o,1.299545%,180,0,180,0,0,0
list.o,1.082954%,150,0,150,0,0,0
init.o,0.346545%,48,0,48,0,0,0
uidiv.o,0.317667%,44,0,44,0,0,0
puts.o,0.259909%,36,0,36,0,0,0
memseta.o,0.259909%,36,0,36,0,0,0
memcpya.o,0.259909%,36,0,36,0,0,0
handlers.o,0.216591%,30,0,30,0,0,0
gd32f4xx_exti.o,0.216591%,30,0,30,0,0,0
gd32f4xx_it.o,0.086636%,12,0,12,0,0,0
entry9a.o,0.057758%,8,0,8,0,0,0
entry2.o,0.057758%,8,0,8,0,0,0
stdout.o,0.028879%,4,4,0,0,4,0
entry5.o,0.028879%,4,0,4,0,0,0
