File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,23.208366%,3151,800,3108,43,0,800
queue.o,7.527436%,1022,64,1002,20,0,64
timers.o,6.916108%,939,60,918,21,0,60
port.o,6.754069%,917,9,872,41,4,5
mc_w.l,5.347279%,726,4,722,0,4,0
heap_4.o,4.890624%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.360315%,592,0,592,0,0,0
usart0.o,4.154084%,564,1028,564,0,0,1028
gd32f4xx_timer.o,4.109892%,558,0,558,0,0,0
main.o,4.065700%,552,12,552,0,0,12
system_gd32f4xx.o,3.933122%,534,4,530,0,4,0
printf3.o,3.476468%,472,0,472,0,0,0
exti.o,3.461737%,470,0,470,0,0,0
gd32f4xx_dma.o,3.196583%,434,0,434,0,0,0
startup_gd32f407_427.o,3.152390%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.371658%,322,0,314,8,0,0
gd32f4xx_gpio.o,2.018119%,274,0,274,0,0,0
bsp_keys.o,1.738234%,236,4,232,0,4,0
gd32f4xx_misc.o,1.325772%,180,0,180,0,0,0
list.o,1.104810%,150,0,150,0,0,0
systick.o,0.707078%,96,0,96,0,0,0
init.o,0.353539%,48,0,48,0,0,0
uidiv.o,0.324077%,44,0,44,0,0,0
puts.o,0.265154%,36,0,36,0,0,0
memseta.o,0.265154%,36,0,36,0,0,0
memcpya.o,0.265154%,36,0,36,0,0,0
handlers.o,0.220962%,30,0,30,0,0,0
gd32f4xx_exti.o,0.220962%,30,0,30,0,0,0
gd32f4xx_it.o,0.088385%,12,0,12,0,0,0
entry9a.o,0.058923%,8,0,8,0,0,0
entry2.o,0.058923%,8,0,8,0,0,0
stdout.o,0.029462%,4,4,0,0,4,0
entry5.o,0.029462%,4,0,4,0,0,0
