File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.210526%,3151,800,3108,43,0,800
timers.o,8.029197%,1045,60,1024,21,0,60
queue.o,7.852478%,1022,64,1002,20,0,64
port.o,7.045716%,917,9,872,41,4,5
mc_w.l,5.578179%,726,4,722,0,4,0
heap_4.o,5.101806%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.548598%,592,0,592,0,0,0
usart0.o,4.333461%,564,1028,564,0,0,1028
system_gd32f4xx.o,4.102958%,534,4,530,0,4,0
main.o,3.657319%,476,20,476,0,0,20
printf3.o,3.626585%,472,0,472,0,0,0
exti.o,3.611218%,470,0,470,0,0,0
gd32f4xx_dma.o,3.334614%,434,0,434,0,0,0
startup_gd32f407_427.o,3.288513%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,2.212831%,288,0,280,8,0,0
gd32f4xx_gpio.o,2.105263%,274,0,274,0,0,0
bsp_keys.o,1.813292%,236,4,232,0,4,0
gd32f4xx_misc.o,1.383020%,180,0,180,0,0,0
list.o,1.152516%,150,0,150,0,0,0
systick.o,0.737610%,96,0,96,0,0,0
init.o,0.368805%,48,0,48,0,0,0
uidiv.o,0.338071%,44,0,44,0,0,0
puts.o,0.276604%,36,0,36,0,0,0
memseta.o,0.276604%,36,0,36,0,0,0
memcpya.o,0.276604%,36,0,36,0,0,0
handlers.o,0.230503%,30,0,30,0,0,0
gd32f4xx_exti.o,0.230503%,30,0,30,0,0,0
gd32f4xx_it.o,0.092201%,12,0,12,0,0,0
entry9a.o,0.061468%,8,0,8,0,0,0
entry2.o,0.061468%,8,0,8,0,0,0
stdout.o,0.030734%,4,4,0,0,4,0
entry5.o,0.030734%,4,0,4,0,0,0
