File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,22.005379%,3191,800,3148,43,0,800
queue.o,13.323219%,1932,64,1912,20,0,64
timers.o,8.337356%,1209,60,1188,21,0,60
port.o,7.123647%,1033,9,988,41,4,5
main.o,5.047928%,732,24,732,0,0,24
mc_w.l,5.006551%,726,4,722,0,4,0
heap_4.o,4.578995%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.082477%,592,0,592,0,0,0
usart0.o,3.889387%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.682505%,534,4,530,0,4,0
printf3.o,3.254948%,472,0,472,0,0,0
exti.o,3.241156%,470,0,470,0,0,0
gd32f4xx_dma.o,2.992897%,434,0,434,0,0,0
startup_gd32f407_427.o,2.951521%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.986070%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.889525%,274,0,274,0,0,0
bsp_keys.o,1.627474%,236,4,232,0,4,0
gd32f4xx_misc.o,1.241294%,180,0,180,0,0,0
list.o,1.034411%,150,0,150,0,0,0
systick.o,0.662023%,96,0,96,0,0,0
init.o,0.331012%,48,0,48,0,0,0
uidiv.o,0.303427%,44,0,44,0,0,0
puts.o,0.248259%,36,0,36,0,0,0
memseta.o,0.248259%,36,0,36,0,0,0
memcpya.o,0.248259%,36,0,36,0,0,0
handlers.o,0.206882%,30,0,30,0,0,0
gd32f4xx_exti.o,0.206882%,30,0,30,0,0,0
gd32f4xx_it.o,0.082753%,12,0,12,0,0,0
entry9a.o,0.055169%,8,0,8,0,0,0
entry2.o,0.055169%,8,0,8,0,0,0
stdout.o,0.027584%,4,4,0,0,4,0
entry5.o,0.027584%,4,0,4,0,0,0
