File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.965662%,3817,800,3774,43,0,800
queue.o,14.912683%,2280,64,2260,20,0,64
port.o,6.756492%,1033,9,988,41,4,5
mc_w.l,6.265943%,958,4,954,0,4,0
timers.o,6.141671%,939,60,918,21,0,60
main.o,4.473804%,684,16,684,0,0,16
heap_4.o,4.342992%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.872065%,592,0,592,0,0,0
printf4.o,3.845902%,588,0,588,0,0,0
usart0.o,3.688927%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.492707%,534,4,530,0,4,0
exti.o,3.074106%,470,0,470,0,0,0
gd32f4xx_dma.o,2.838642%,434,0,434,0,0,0
startup_gd32f407_427.o,2.799398%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.883707%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.792138%,274,0,274,0,0,0
gd32f4xx_misc.o,1.177317%,180,0,180,0,0,0
list.o,0.981098%,150,0,150,0,0,0
uldiv.o,0.640984%,98,0,98,0,0,0
init.o,0.313951%,48,0,48,0,0,0
puts.o,0.235463%,36,0,36,0,0,0
memseta.o,0.235463%,36,0,36,0,0,0
memcpya.o,0.235463%,36,0,36,0,0,0
llushr.o,0.209301%,32,0,32,0,0,0
llshl.o,0.196220%,30,0,30,0,0,0
handlers.o,0.196220%,30,0,30,0,0,0
gd32f4xx_exti.o,0.196220%,30,0,30,0,0,0
gd32f4xx_it.o,0.078488%,12,0,12,0,0,0
entry9a.o,0.052325%,8,0,8,0,0,0
entry2.o,0.052325%,8,0,8,0,0,0
stdout.o,0.026163%,4,4,0,0,4,0
entry5.o,0.026163%,4,0,4,0,0,0
