File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.742334%,3817,800,3774,43,0,800
queue.o,15.647890%,2414,64,2394,20,0,64
port.o,6.696053%,1033,9,988,41,4,5
mc_w.l,6.209892%,958,4,954,0,4,0
timers.o,6.086731%,939,60,918,21,0,60
main.o,4.459713%,688,16,688,0,0,16
heap_4.o,4.304142%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.837428%,592,0,592,0,0,0
printf4.o,3.811499%,588,0,588,0,0,0
usart0.o,3.655928%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.461464%,534,4,530,0,4,0
exti.o,3.046607%,470,0,470,0,0,0
gd32f4xx_dma.o,2.813250%,434,0,434,0,0,0
startup_gd32f407_427.o,2.774357%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.866857%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.776107%,274,0,274,0,0,0
gd32f4xx_misc.o,1.166785%,180,0,180,0,0,0
list.o,0.972321%,150,0,150,0,0,0
uldiv.o,0.635250%,98,0,98,0,0,0
init.o,0.311143%,48,0,48,0,0,0
puts.o,0.233357%,36,0,36,0,0,0
memseta.o,0.233357%,36,0,36,0,0,0
memcpya.o,0.233357%,36,0,36,0,0,0
llushr.o,0.207429%,32,0,32,0,0,0
llshl.o,0.194464%,30,0,30,0,0,0
handlers.o,0.194464%,30,0,30,0,0,0
gd32f4xx_exti.o,0.194464%,30,0,30,0,0,0
gd32f4xx_it.o,0.077786%,12,0,12,0,0,0
entry9a.o,0.051857%,8,0,8,0,0,0
entry2.o,0.051857%,8,0,8,0,0,0
stdout.o,0.025929%,4,4,0,0,4,0
entry5.o,0.025929%,4,0,4,0,0,0
