File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,26.296934%,3817,800,3774,43,0,800
queue.o,15.377196%,2232,64,2212,20,0,64
timers.o,6.469170%,939,60,918,21,0,60
port.o,6.317603%,917,9,872,41,4,5
mc_w.l,5.001722%,726,4,722,0,4,0
heap_4.o,4.574578%,664,76828,626,38,0,76828
gd32f4xx_usart.o,4.078539%,592,0,592,0,0,0
usart0.o,3.885636%,564,1028,564,0,0,1028
main.o,3.775405%,548,16,526,22,0,16
system_gd32f4xx.o,3.678953%,534,4,530,0,4,0
printf3.o,3.251808%,472,0,472,0,0,0
exti.o,3.238030%,470,0,470,0,0,0
gd32f4xx_dma.o,2.990010%,434,0,434,0,0,0
startup_gd32f407_427.o,2.948674%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.984154%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.818808%,264,0,264,0,0,0
gd32f4xx_misc.o,1.240096%,180,0,180,0,0,0
list.o,1.033414%,150,0,150,0,0,0
init.o,0.330692%,48,0,48,0,0,0
uidiv.o,0.303135%,44,0,44,0,0,0
puts.o,0.248019%,36,0,36,0,0,0
memseta.o,0.248019%,36,0,36,0,0,0
memcpya.o,0.248019%,36,0,36,0,0,0
handlers.o,0.206683%,30,0,30,0,0,0
gd32f4xx_exti.o,0.206683%,30,0,30,0,0,0
gd32f4xx_it.o,0.082673%,12,0,12,0,0,0
entry9a.o,0.055115%,8,0,8,0,0,0
entry2.o,0.055115%,8,0,8,0,0,0
stdout.o,0.027558%,4,4,0,0,4,0
entry5.o,0.027558%,4,0,4,0,0,0
